MUNINAME,year,ped_type,ped_inj,ped_age,count
MILWAUKEE,2019,PED,Suspected Serious Injury,34,2
MILWAUKEE,2019,PED,Suspected Serious Injury,35,2
MILWAUKEE,2019,PED,Suspected Serious Injury,36,1
MILWAUKEE,2019,PED,Suspected Serious Injury,39,3
MILWAUKEE,2019,PED,Suspected Serious Injury,41,1
MILWAUKEE,2019,PED,Suspected Serious Injury,42,1
MILWAUKEE,2019,PED,Suspected Serious Injury,44,3
MILWAUKEE,2019,PED,Suspected Serious Injury,45,1
MILWAUKEE,2019,PED,Suspected Serious Injury,46,1
MILWAUKEE,2019,PED,Suspected Serious Injury,48,1
MILWAUKEE,2019,PED,Suspected Serious Injury,49,1
MILWAUKEE,2019,PED,Suspected Serious Injury,51,1
MILWAUKEE,2019,PED,Suspected Serious Injury,52,1
MILWAUKEE,2019,PED,Suspected Serious Injury,53,1
MILWAUKEE,2019,PED,Suspected Serious Injury,56,1
MILWAUKEE,2019,PED,Suspected Serious Injury,57,1
MILWAUKEE,2019,PED,Suspected Serious Injury,58,2
MILWAUKEE,2019,PED,Suspected Serious Injury,60,1
MILWAUKEE,2019,PED,Suspected Serious Injury,61,1
MILWAUKEE,2019,PED,Suspected Serious Injury,62,2
MILWAUKEE,2019,PED,Suspected Serious Injury,65,1
MILWAUKEE,2019,PED,Suspected Serious Injury,67,2
MILWAUKEE,2019,PED,Suspected Serious Injury,68,1
MILWAUKEE,2019,PED,Suspected Serious Injury,69,1
MILWAUKEE,2019,PED,Suspected Serious Injury,70,2
MILWAUKEE,2019,PED,Suspected Serious Injury,72,1
MILWAUKEE,2019,PED,Suspected Serious Injury,74,1
MILWAUKEE,2019,PED,Suspected Serious Injury,75,2
MILWAUKEE,2019,PED,Suspected Serious Injury,77,1
MILWAUKEE,2019,PED,Suspected Serious Injury,94,1
MILWAUKEE,2020,BIKE,Fatality,53,1
MILWAUKEE,2020,BIKE,Fatality,54,1
MILWAUKEE,2020,BIKE,Fatality,79,1
MILWAUKEE,2020,BIKE,Suspected Serious Injury,10,1
MILWAUKEE,2020,BIKE,Suspected Serious Injury,36,1
MILWAUKEE,2020,BIKE,Suspected Serious Injury,40,1
MILWAUKEE,2020,BIKE,Suspected Serious Injury,46,1
MILWAUKEE,2020,BIKE,Suspected Serious Injury,52,1
MILWAUKEE,2020,PED,Fatality,20,1
MILWAUKEE,2020,PED,Fatality,23,1
MILWAUKEE,2020,PED,Fatality,36,1
MILWAUKEE,2020,PED,Fatality,37,1
MILWAUKEE,2020,PED,Fatality,44,1
MILWAUKEE,2020,PED,Fatality,45,1
MILWAUKEE,2020,PED,Fatality,49,1
MILWAUKEE,2020,PED,Fatality,52,1
MILWAUKEE,2020,PED,Fatality,57,1
MILWAUKEE,2020,PED,Fatality,60,1
MILWAUKEE,2020,PED,Fatality,68,1
MILWAUKEE,2020,PED,Fatality,86,1
MILWAUKEE,2020,PED,Suspected Serious Injury,3,1
MILWAUKEE,2020,PED,Suspected Serious Injury,6,1
MILWAUKEE,2020,PED,Suspected Serious Injury,17,2
MILWAUKEE,2020,PED,Suspected Serious Injury,18,1
MILWAUKEE,2020,PED,Suspected Serious Injury,19,2
MILWAUKEE,2020,PED,Suspected Serious Injury,22,3
MILWAUKEE,2020,PED,Suspected Serious Injury,23,1
MILWAUKEE,2020,PED,Suspected Serious Injury,24,1
MILWAUKEE,2020,PED,Suspected Serious Injury,25,2
MILWAUKEE,2020,PED,Suspected Serious Injury,27,2
MILWAUKEE,2020,PED,Suspected Serious Injury,28,1
MILWAUKEE,2020,PED,Suspected Serious Injury,29,1
MILWAUKEE,2020,PED,Suspected Serious Injury,30,2
MILWAUKEE,2020,PED,Suspected Serious Injury,31,2
MILWAUKEE,2020,PED,Suspected Serious Injury,32,1
MILWAUKEE,2020,PED,Suspected Serious Injury,33,2
MILWAUKEE,2020,PED,Suspected Serious Injury,35,5
MILWAUKEE,2020,PED,Suspected Serious Injury,39,1
MILWAUKEE,2020,PED,Suspected Serious Injury,44,1
MILWAUKEE,2020,PED,Suspected Serious Injury,47,1
MILWAUKEE,2020,PED,Suspected Serious Injury,48,1
MILWAUKEE,2020,PED,Suspected Serious Injury,49,1
MILWAUKEE,2020,PED,Suspected Serious Injury,52,2
MILWAUKEE,2020,PED,Suspected Serious Injury,54,1
MILWAUKEE,2020,PED,Suspected Serious Injury,55,2
MILWAUKEE,2020,PED,Suspected Serious Injury,56,2
MILWAUKEE,2020,PED,Suspected Serious Injury,57,4
MILWAUKEE,2020,PED,Suspected Serious Injury,59,3
MILWAUKEE,2020,PED,Suspected Serious Injury,60,2
MILWAUKEE,2020,PED,Suspected Serious Injury,62,2
MILWAUKEE,2020,PED,Suspected Serious Injury,64,1
MILWAUKEE,2020,PED,Suspected Serious Injury,65,1
MILWAUKEE,2020,PED,Suspected Serious Injury,66,1
MILWAUKEE,2020,PED,Suspected Serious Injury,68,2
MILWAUKEE,2021,BIKE,Fatality,18,1
MILWAUKEE,2021,BIKE,Suspected Serious Injury,14,1
MILWAUKEE,2021,BIKE,Suspected Serious Injury,33,1
MILWAUKEE,2021,BIKE,Suspected Serious Injury,36,1
MILWAUKEE,2021,BIKE,Suspected Serious Injury,53,1
MILWAUKEE,2021,BIKE,Suspected Serious Injury,54,2
MILWAUKEE,2021,BIKE,Suspected Serious Injury,55,1
MILWAUKEE,2021,BIKE,Suspected Serious Injury,56,1
MILWAUKEE,2021,BIKE,Suspected Serious Injury,58,1
MILWAUKEE,2021,BIKE,Suspected Serious Injury,62,1
MILWAUKEE,2021,PED,Fatality,27,1
MILWAUKEE,2021,PED,Fatality,28,1
MILWAUKEE,2021,PED,Fatality,34,1
MILWAUKEE,2021,PED,Fatality,35,1
MILWAUKEE,2021,PED,Fatality,37,1
MILWAUKEE,2021,PED,Fatality,41,1
MILWAUKEE,2021,PED,Fatality,43,1
MILWAUKEE,2021,PED,Fatality,49,1
MILWAUKEE,2021,PED,Fatality,50,2
MILWAUKEE,2021,PED,Fatality,55,1
MILWAUKEE,2021,PED,Fatality,56,1
MILWAUKEE,2021,PED,Fatality,57,1
MILWAUKEE,2021,PED,Fatality,60,1
MILWAUKEE,2021,PED,Fatality,61,2
MILWAUKEE,2021,PED,Fatality,64,1
MILWAUKEE,2021,PED,Suspected Serious Injury,13,3
MILWAUKEE,2021,PED,Suspected Serious Injury,15,1
MILWAUKEE,2021,PED,Suspected Serious Injury,16,2
MILWAUKEE,2021,PED,Suspected Serious Injury,18,1
MILWAUKEE,2021,PED,Suspected Serious Injury,19,1
MILWAUKEE,2021,PED,Suspected Serious Injury,20,2
MILWAUKEE,2021,PED,Suspected Serious Injury,21,1
MILWAUKEE,2021,PED,Suspected Serious Injury,22,1
MILWAUKEE,2021,PED,Suspected Serious Injury,24,3
MILWAUKEE,2021,PED,Suspected Serious Injury,26,1
MILWAUKEE,2021,PED,Suspected Serious Injury,29,1
MILWAUKEE,2021,PED,Suspected Serious Injury,30,3
MILWAUKEE,2021,PED,Suspected Serious Injury,31,1
MILWAUKEE,2021,PED,Suspected Serious Injury,33,1
MILWAUKEE,2021,PED,Suspected Serious Injury,35,1
MILWAUKEE,2021,PED,Suspected Serious Injury,36,2
MILWAUKEE,2021,PED,Suspected Serious Injury,37,4
MILWAUKEE,2021,PED,Suspected Serious Injury,39,1
MILWAUKEE,2021,PED,Suspected Serious Injury,40,1
MILWAUKEE,2021,PED,Suspected Serious Injury,41,2
MILWAUKEE,2021,PED,Suspected Serious Injury,42,3
MILWAUKEE,2021,PED,Suspected Serious Injury,43,4
MILWAUKEE,2021,PED,Suspected Serious Injury,46,2
MILWAUKEE,2021,PED,Suspected Serious Injury,47,2
MILWAUKEE,2021,PED,Suspected Serious Injury,50,4
MILWAUKEE,2021,PED,Suspected Serious Injury,51,5
MILWAUKEE,2021,PED,Suspected Serious Injury,52,1
MILWAUKEE,2021,PED,Suspected Serious Injury,53,1
MILWAUKEE,2021,PED,Suspected Serious Injury,54,1
MILWAUKEE,2021,PED,Suspected Serious Injury,56,2
MILWAUKEE,2021,PED,Suspected Serious Injury,57,3
MILWAUKEE,2021,PED,Suspected Serious Injury,60,1
MILWAUKEE,2021,PED,Suspected Serious Injury,61,3
MILWAUKEE,2021,PED,Suspected Serious Injury,64,1
MILWAUKEE,2021,PED,Suspected Serious Injury,65,1
MILWAUKEE,2021,PED,Suspected Serious Injury,70,1
MILWAUKEE,2021,PED,Suspected Serious Injury,78,1
MILWAUKEE,2021,PED,Suspected Serious Injury,NA,1
MILWAUKEE,2022,BIKE,Fatality,34,1
MILWAUKEE,2022,BIKE,Fatality,41,1
MILWAUKEE,2022,BIKE,Fatality,55,1
MILWAUKEE,2022,BIKE,Fatality,65,1
MILWAUKEE,2022,BIKE,Fatality,70,1
MILWAUKEE,2022,BIKE,Suspected Serious Injury,14,1
MILWAUKEE,2022,BIKE,Suspected Serious Injury,16,1
MILWAUKEE,2022,BIKE,Suspected Serious Injury,26,1
MILWAUKEE,2022,BIKE,Suspected Serious Injury,31,1
MILWAUKEE,2022,BIKE,Suspected Serious Injury,34,1
MILWAUKEE,2022,BIKE,Suspected Serious Injury,42,1
MILWAUKEE,2022,BIKE,Suspected Serious Injury,46,1
MILWAUKEE,2022,BIKE,Suspected Serious Injury,53,1
MILWAUKEE,2022,BIKE,Suspected Serious Injury,58,1
MILWAUKEE,2022,PED,Fatality,22,1
MILWAUKEE,2022,PED,Fatality,23,3
MILWAUKEE,2022,PED,Fatality,29,1
MILWAUKEE,2022,PED,Fatality,32,1
MILWAUKEE,2022,PED,Fatality,34,1
MILWAUKEE,2022,PED,Fatality,36,1
MILWAUKEE,2022,PED,Fatality,37,1
MILWAUKEE,2022,PED,Fatality,40,1
MILWAUKEE,2022,PED,Fatality,41,1
MILWAUKEE,2022,PED,Fatality,42,1
MILWAUKEE,2022,PED,Fatality,45,1
MILWAUKEE,2022,PED,Fatality,46,2
MILWAUKEE,2022,PED,Fatality,48,2
MILWAUKEE,2022,PED,Fatality,50,1
MILWAUKEE,2022,PED,Fatality,55,1
MILWAUKEE,2022,PED,Fatality,65,1
MILWAUKEE,2022,PED,Fatality,74,1
MILWAUKEE,2022,PED,Fatality,80,1
MILWAUKEE,2022,PED,Fatality,94,1
MILWAUKEE,2022,PED,Suspected Serious Injury,3,1
MILWAUKEE,2022,PED,Suspected Serious Injury,5,1
MILWAUKEE,2022,PED,Suspected Serious Injury,10,1
MILWAUKEE,2022,PED,Suspected Serious Injury,12,1
MILWAUKEE,2022,PED,Suspected Serious Injury,15,2
MILWAUKEE,2022,PED,Suspected Serious Injury,16,1
MILWAUKEE,2022,PED,Suspected Serious Injury,17,2
MILWAUKEE,2022,PED,Suspected Serious Injury,18,1
MILWAUKEE,2022,PED,Suspected Serious Injury,19,1
MILWAUKEE,2022,PED,Suspected Serious Injury,20,1
MILWAUKEE,2022,PED,Suspected Serious Injury,21,1
MILWAUKEE,2022,PED,Suspected Serious Injury,23,1
MILWAUKEE,2022,PED,Suspected Serious Injury,26,1
MILWAUKEE,2022,PED,Suspected Serious Injury,28,1
MILWAUKEE,2022,PED,Suspected Serious Injury,29,2
MILWAUKEE,2022,PED,Suspected Serious Injury,30,1
MILWAUKEE,2022,PED,Suspected Serious Injury,31,1
MILWAUKEE,2022,PED,Suspected Serious Injury,33,1
MILWAUKEE,2022,PED,Suspected Serious Injury,34,1
MILWAUKEE,2022,PED,Suspected Serious Injury,37,2
MILWAUKEE,2022,PED,Suspected Serious Injury,38,3
MILWAUKEE,2022,PED,Suspected Serious Injury,39,1
MILWAUKEE,2022,PED,Suspected Serious Injury,44,1
MILWAUKEE,2022,PED,Suspected Serious Injury,45,1
MILWAUKEE,2022,PED,Suspected Serious Injury,46,1
MILWAUKEE,2022,PED,Suspected Serious Injury,52,1
MILWAUKEE,2022,PED,Suspected Serious Injury,53,1
MILWAUKEE,2022,PED,Suspected Serious Injury,55,2
MILWAUKEE,2022,PED,Suspected Serious Injury,56,3
MILWAUKEE,2022,PED,Suspected Serious Injury,60,2
MILWAUKEE,2022,PED,Suspected Serious Injury,61,2
MILWAUKEE,2022,PED,Suspected Serious Injury,63,3
MILWAUKEE,2022,PED,Suspected Serious Injury,64,2
MILWAUKEE,2022,PED,Suspected Serious Injury,65,1
MILWAUKEE,2022,PED,Suspected Serious Injury,72,2
MILWAUKEE,2022,PED,Suspected Serious Injury,73,1
MILWAUKEE,2022,PED,Suspected Serious Injury,76,1
MILWAUKEE,2022,PED,Suspected Serious Injury,NA,1
MILWAUKEE,2023,BIKE,Fatality,11,1
MILWAUKEE,2023,BIKE,Suspected Serious Injury,15,1
MILWAUKEE,2023,BIKE,Suspected Serious Injury,22,1
MILWAUKEE,2023,BIKE,Suspected Serious Injury,25,1
MILWAUKEE,2023,BIKE,Suspected Serious Injury,29,1
MILWAUKEE,2023,BIKE,Suspected Serious Injury,31,1
MILWAUKEE,2023,BIKE,Suspected Serious Injury,33,1
MILWAUKEE,2023,BIKE,Suspected Serious Injury,40,1
MILWAUKEE,2023,PED,Fatality,13,1
MILWAUKEE,2023,PED,Fatality,17,1
MILWAUKEE,2023,PED,Fatality,21,1
MILWAUKEE,2023,PED,Fatality,25,1
MILWAUKEE,2023,PED,Fatality,27,1
MILWAUKEE,2023,PED,Fatality,31,1
MILWAUKEE,2023,PED,Fatality,32,1
MILWAUKEE,2023,PED,Fatality,35,1
MILWAUKEE,2023,PED,Fatality,40,1
MILWAUKEE,2023,PED,Fatality,48,1
MILWAUKEE,2023,PED,Fatality,52,1
MILWAUKEE,2023,PED,Fatality,53,1
MILWAUKEE,2023,PED,Fatality,57,1
MILWAUKEE,2023,PED,Fatality,59,2
MILWAUKEE,2023,PED,Fatality,68,1
MILWAUKEE,2023,PED,Fatality,71,1
MILWAUKEE,2023,PED,Fatality,77,1
MILWAUKEE,2023,PED,Fatality,80,1
MILWAUKEE,2023,PED,Suspected Serious Injury,4,2
MILWAUKEE,2023,PED,Suspected Serious Injury,5,2
MILWAUKEE,2023,PED,Suspected Serious Injury,7,1
MILWAUKEE,2023,PED,Suspected Serious Injury,9,1
MILWAUKEE,2023,PED,Suspected Serious Injury,11,1
MILWAUKEE,2023,PED,Suspected Serious Injury,12,1
MILWAUKEE,2023,PED,Suspected Serious Injury,13,2
MILWAUKEE,2023,PED,Suspected Serious Injury,14,1
MILWAUKEE,2023,PED,Suspected Serious Injury,15,2
MILWAUKEE,2023,PED,Suspected Serious Injury,17,1
MILWAUKEE,2023,PED,Suspected Serious Injury,18,1
MILWAUKEE,2023,PED,Suspected Serious Injury,20,1
MILWAUKEE,2023,PED,Suspected Serious Injury,21,1
MILWAUKEE,2023,PED,Suspected Serious Injury,22,1
MILWAUKEE,2023,PED,Suspected Serious Injury,24,2
MILWAUKEE,2023,PED,Suspected Serious Injury,26,2
MILWAUKEE,2023,PED,Suspected Serious Injury,28,3
MILWAUKEE,2023,PED,Suspected Serious Injury,29,2
MILWAUKEE,2023,PED,Suspected Serious Injury,30,1
MILWAUKEE,2023,PED,Suspected Serious Injury,31,1
MILWAUKEE,2023,PED,Suspected Serious Injury,32,2
MILWAUKEE,2023,PED,Suspected Serious Injury,34,1
MILWAUKEE,2023,PED,Suspected Serious Injury,35,1
MILWAUKEE,2023,PED,Suspected Serious Injury,36,3
MILWAUKEE,2023,PED,Suspected Serious Injury,37,3
MILWAUKEE,2023,PED,Suspected Serious Injury,38,1
MILWAUKEE,2023,PED,Suspected Serious Injury,40,1
MILWAUKEE,2023,PED,Suspected Serious Injury,41,1
MILWAUKEE,2023,PED,Suspected Serious Injury,42,2
MILWAUKEE,2023,PED,Suspected Serious Injury,46,1
MILWAUKEE,2023,PED,Suspected Serious Injury,49,1
MILWAUKEE,2023,PED,Suspected Serious Injury,51,2
MILWAUKEE,2023,PED,Suspected Serious Injury,52,2
MILWAUKEE,2023,PED,Suspected Serious Injury,54,3
MILWAUKEE,2023,PED,Suspected Serious Injury,55,1
MILWAUKEE,2023,PED,Suspected Serious Injury,56,2
MILWAUKEE,2023,PED,Suspected Serious Injury,57,2
MILWAUKEE,2023,PED,Suspected Serious Injury,61,1
MILWAUKEE,2023,PED,Suspected Serious Injury,62,1
MILWAUKEE,2023,PED,Suspected Serious Injury,64,1
MILWAUKEE,2023,PED,Suspected Serious Injury,67,1
MILWAUKEE,2023,PED,Suspected Serious Injury,68,3
MILWAUKEE,2023,PED,Suspected Serious Injury,73,1
MILWAUKEE,2023,PED,Suspected Serious Injury,78,1
